date, value
12/1/1914,1
12/1/1915,1.98
12/1/1916,12.62
12/1/1917,18.1
12/1/1918,20.44
12/1/1919,14.55
12/1/1920,2.65
12/1/1921,-10.82
12/1/1922,-2.31
12/1/1923,2.37
12/1/1924,0
12/1/1925,3.47
12/1/1926,-1.12
12/1/1927,-2.26
12/1/1928,-1.16
12/1/1929,0.58
12/1/1930,-6.4
12/1/1931,-9.32
12/1/1932,-10.27
12/1/1933,0.76
12/1/1934,1.52
12/1/1935,2.99
12/1/1936,1.45
12/1/1937,2.86
12/1/1938,-2.78
12/1/1939,0
12/1/1940,0.71
12/1/1941,9.93
12/1/1942,9.03
12/1/1943,2.96
12/1/1944,2.3
12/1/1945,2.25
12/1/1946,18.13
12/1/1947,8.84
12/1/1948,2.99
12/1/1949,-2.07
12/1/1950,5.93
12/1/1951,6
12/1/1952,0.75
12/1/1953,0.75
12/1/1954,-0.74
12/1/1955,0.37
12/1/1956,2.99
12/1/1957,2.9
12/1/1958,1.76
12/1/1959,1.73
12/1/1960,1.36
12/1/1961,0.67
12/1/1962,1.33
12/1/1963,1.64
12/1/1964,0.97
12/1/1965,1.92
12/1/1966,3.46
12/1/1967,3.04
12/1/1968,4.72
12/1/1969,6.2
12/1/1970,5.57
12/1/1971,3.27
12/1/1972,3.41
12/1/1973,8.71
12/1/1974,12.34
12/1/1975,6.94
12/1/1976,4.86
12/1/1977,6.7
12/1/1978,9.02
12/1/1979,13.29
12/1/1980,12.52
12/1/1981,8.92
12/1/1982,3.83
12/1/1983,3.79
12/1/1984,3.95
12/1/1985,3.8
12/1/1986,1.1
12/1/1987,4.43
12/1/1988,4.42
12/1/1989,4.65
12/1/1990,6.11
12/1/1991,3.06
12/1/1992,2.9
12/1/1993,2.75
12/1/1994,2.67
12/1/1995,2.54
12/1/1996,3.32
12/1/1997,1.7
12/1/1998,1.61
12/1/1999,2.68
12/1/2000,3.39
12/1/2001,1.55
12/1/2002,2.38
12/1/2003,1.88
12/1/2004,3.26
12/1/2005,3.42
12/1/2006,2.54
12/1/2007,4.08
12/1/2008,0.09
12/1/2009,2.72
12/1/2010,1.5
12/1/2011,2.96
12/1/2012,1.74
12/1/2013,1.5
12/1/2014,0.76
12/1/2015,0.73
12/1/2016,2.07
12/1/2017,2.11
12/1/2018,1.91
12/1/2019,2.29
12/1/2020,1.29
